mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
10	10	50	50	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	180						3
10	10	52	52	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	181						
10	10	54	54	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	182	ornamentTremblement					
10	10	50	50	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	183						4
10	10	52	52	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	184						
10	10	54	54	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	185						
10	10	50	50	4.0	0	0	Chord	3/2	5	1	1	1	1	186						
10	10	54	54	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	187	ornamentTremblement					
10	10	50	50	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	188						
10	10	52	52	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	189						
10	10	54	54	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	190						
10	10	50	50	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	191						
10	10	52	52	4.0	1/2	1/2	Chord	3/2	6	1	1	1	1	192						
10	10	50	50	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	193						
10	10	52	52	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	194						
10	10	54	54	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	195						
10	10	50	50	4.0	0	0	Chord	3/2	7	1	1	1	1	196						
10	10	54	54	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6	5	b	
10	10	54	54	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	197	ornamentTremblement					
10	10	56	56	0.0	3/2	3/2	FiguredBass	3/2	7	1	0					1/2	#			
10	10	50	50	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	198						
10	10	52	52	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	199						
10	10	54	54	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	200						
11	11	56	56	4.0	0	0	Chord	3/2	1	1	1	1	1	201						
11	11	60	60	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	202						
11	11	56	56	4.0	0	0	Chord	3/2	2	1	1	1	1	203						
11	11	60	60	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	204						
11	11	56	56	4.0	0	0	Chord	3/2	3	1	1	1	1	205						
11	11	60	60	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	206						
11	11	56	56	4.0	0	0	Chord	3/2	4	1	1	1	1	207						
11	11	60	60	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	208						
11	11	60	60	2.0	1	1	Chord	3/2	4	2	1/2	1/2	1	209						
11	11	56	56	4.0	0	0	Chord	3/2	5	1	1	1	1	210						
11	11	60	60	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	211						
11	11	56	56	4.0	0	0	Chord	3/2	5	2	1	1	1	212						
11	11	60	60	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	213						
11	11	56	56	4.0	0	0	Chord	3/2	5	3	1	1	1	214						
11	11	56	56	4.0	0	0	Chord	3/2	6	1	1	1	1	215						
11	11	60	60	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	216						
11	11	56	56	4.0	0	0	Chord	3/2	6	2	1	1	1	217						
11	11	60	60	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	218						
11	11	56	56	4.0	0	0	Chord	3/2	7	1	1	1	1	219						
11	11	60	60	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6			
11	11	60	60	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	220						
11	11	56	56	4.0	0	0	Chord	3/2	8	1	1	1	1	221						
11	11	60	60	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	222						
12	12	62	62	4.0	0	0	Chord	3/2	1	1	1	1	1	223						
12	12	66	66	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	224						
12	12	62	62	4.0	0	0	Chord	3/2	2	1	1	1	1	225						
12	12	66	66	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	226						
12	12	62	62	4.0	0	0	Chord	3/2	3	1	1	1	1	227						
12	12	66	66	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	228						
12	12	62	62	4.0	0	0	Chord	3/2	4	1	1	1	1	229						
12	12	66	66	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	230						
12	12	62	62	2.0	0	0	Chord	3/2	4	2	1/2	1/2	1	231						
12	12	64	64	2.0	1/2	1/2	Chord	3/2	4	2	1/2	1/2	1	232						
12	12	66	66	2.0	1	1	Chord	3/2	4	2	1/2	1/2	1	233						
12	12	62	62	4.0	0	0	Chord	3/2	5	1	1	1	1	234						
12	12	66	66	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	235						
12	12	62	62	4.0	0	0	Chord	3/2	5	2	1	1	1	236						
12	12	66	66	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	237						
12	12	66	66	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	238						
12	12	62	62	4.0	0	0	Chord	3/2	6	1	1	1	1	239						
12	12	66	66	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	240						
12	12	62	62	4.0	0	0	Chord	3/2	6	2	1	1	1	241						
12	12	66	66	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	242						
12	12	62	62	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
12	12	62	62	4.0	0	0	Chord	3/2	7	1	1	1	1	243						
12	12	66	66	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	244						
12	12	62	62	4.0	0	0	Chord	3/2	8	1	1	1	1	245						
12	12	66	66	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	246						
13	13	68	68	4.0	0	0	Chord	3/2	1	1	1	1	1	247						
13	13	72	72	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	248						
13	13	68	68	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	249						5
13	13	70	70	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	250						
13	13	72	72	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	251						
13	13	68	68	4.0	0	0	Chord	3/2	3	1	1	1	1	252						
13	13	72	72	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	253						
13	13	68	68	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	254						6
13	13	70	70	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	255						
13	13	72	72	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	256						
13	13	68	68	4.0	0	0	Chord	3/2	5	1	1	1	1	257						
13	13	72	72	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	258						
13	13	68	68	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	259						
13	13	70	70	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	260						
13	13	72	72	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	261						
13	13	68	68	4.0	0	0	Chord	3/2	6	1	1	1	1	262						
13	13	72	72	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	263						
13	13	68	68	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	264						
13	13	70	70	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	265						
13	13	72	72	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	266						
13	13	68	68	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
13	13	68	68	4.0	0	0	Chord	3/2	7	1	1	1	1	267						
13	13	72	72	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	#			
13	13	72	72	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	268						
13	13	74	74	0.0	3/2	3/2	FiguredBass	3/2	7	1	0					1/2	4			
13	13	68	68	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	269						
13	13	70	70	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	270						
13	13	72	72	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	271						
14	14	74	74	4.0	0	0	Chord	3/2	1	1	1	1	1	272						
14	14	78	78	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	273	ornamentTremblement					
14	14	74	74	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	274						7
14	14	76	76	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	275						
14	14	78	78	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	276						
14	14	74	74	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	277						8
14	14	76	76	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	278						
14	14	78	78	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	279	ornamentTremblement					
14	14	74	74	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	280						9
14	14	76	76	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	281						
14	14	78	78	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	282						
14	14	74	74	4.0	0	0	Chord	3/2	5	1	1	1	1	283						
14	14	78	78	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	284	ornamentTremblement					
14	14	74	74	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	285						
14	14	76	76	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	286						
14	14	78	78	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	287						
14	14	74	74	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	288						
14	14	76	76	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	289						
14	14	78	78	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	290						
14	14	74	74	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	291						
14	14	76	76	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	292						
14	14	78	78	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	293						
14	14	74	74	0.0	0	0	FiguredBass	3/2	7	1	0					1	6			
14	14	74	74	4.0	0	0	Chord	3/2	7	1	1	1	1	294						
14	14	78	78	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	#			
14	14	78	78	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	295	ornamentTremblement					
14	14	74	74	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	296						
14	14	76	76	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	297						
14	14	78	78	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	298						
15	15	80	80	4.0	0	0	Chord	3/2	1	1	1	1	1	299						
15	15	80	80	4.0	0	0	Chord	3/2	2	1	1	1	1	300						
15	15	80	80	4.0	0	0	Chord	3/2	3	1	1	1	1	301						
15	15	80	80	4.0	0	0	Chord	3/2	4	1	1	1	1	302						
15	15	80	80	4.0	0	0	Chord	3/2	5	1	1	1	1	303						
15	15	80	80	4.0	0	0	Chord	3/2	5	2	1	1	1	304						
15	15	80	80	4.0	0	0	Chord	3/2	5	3	1	1	1	305						
15	15	80	80	4.0	0	0	Chord	3/2	6	1	1	1	1	306						
15	15	80	80	4.0	0	0	Chord	3/2	6	2	1	1	1	307						
15	15	80	80	4.0	0	0	Chord	3/2	7	1	1	1	1	308						
15	15	80	80	4.0	0	0	Chord	3/2	8	1	1	1	1	309						
