mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
7	7	36	36	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	186						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	187						
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	188						
7	7	36	36	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	189						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	190						
7	7	40	40	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	191	ornamentTremblement					
7	7	36	36	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	192						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	193						
7	7	40	40	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	194						
7	7	36	36	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	195						
7	7	38	38	4.0	1/2	1/2	Chord	3/2	6	1	1	1	1	196						
7	7	36	36	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	197						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	198						
7	7	40	40	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	199						
7	7	36	36	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	6	4		
7	7	36	36	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	200						
7	7	38	38	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	6			
7	7	38	38	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	201						
7	7	40	40	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	h			
7	7	40	40	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	202	ornamentTremblement					
7	7	36	36	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	203						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	204						
7	7	40	40	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	205						
8	8	42	42	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	206						
8	8	42	42	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	207						
8	8	42	42	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	208						
8	8	42	42	6.0	0	0	Chord	3/2	4	1	3/2	1	3/2	209						
8	8	42	42	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	210						
8	8	42	42	6.0	0	0	Chord	3/2	5	2	3/2	1	3/2	211						
