mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
15	15	59	59	0.0	3/4	3/4	FiguredBass	4/4	9	1	0						1/4	6		
15	15	59	59	1.0	3/4	3/4	Chord	4/4	9	1	1/4		1/4	1	296					
15	15	56	56	4.0	0	0	Chord	4/4	10	1	1		1	1	297					
16	16	60	60	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	298					
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	299					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	300					
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	301					14
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	302					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	303					
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	304					15
16	16	61	61	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	305					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	306					
16	16	60	60	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	307					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	308					
16	16	60	60	0.0	0	0	Chord	4/4	5	1	0	grace4	1/4	1	309					
16	16	60	60	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	310					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	311					
16	16	60	60	1.0	0	0	Chord	4/4	5	2	1/4		1/4	1	312					
16	16	61	61	1.0	1/4	1/4	Chord	4/4	5	2	1/4		1/4	1	313					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	314					
16	16	60	60	1.0	0	0	Chord	4/4	5	3	1/4		1/4	1	315					
16	16	61	61	1.0	1/4	1/4	Chord	4/4	5	3	1/4		1/4	1	316					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	317					
16	16	60	60	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	318					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	319					
16	16	60	60	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	7	b	
16	16	60	60	0.0	0	0	Chord	4/4	9	1	0	grace4	1/4	1	320					
16	16	60	60	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	321					
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	6		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	322					
16	16	64	64	0.0	1	1	FiguredBass	4/4	9	1	0						1/2	6		
16	16	60	60	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	323					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	324					
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	325					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	326					
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	327					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	328					
17	17	64	64	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	329					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	330					
17	17	64	64	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	331					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	332					
17	17	64	64	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	333					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	334					
17	17	64	64	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	335					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	336					
17	17	64	64	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	337					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	338					
17	17	64	64	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	339					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	340					
17	17	64	64	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6		
17	17	64	64	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	341					
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	6	4	
17	17	66	66	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	342					
17	17	64	64	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	343					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	344					
18	18	68	68	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	345					
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	346					
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	347					
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	348					
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	349					16
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	350					
18	18	68	68	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	351					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	352					
18	18	68	68	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	353					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	354					
18	18	68	68	3.0	0	0	Chord	4/4	5	1	3/4		1/2	3/2	355					
18	18	71	71	0.5	3/4	3/4	Chord	4/4	5	1	1/8		1/8	1	356					
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8		1/8	1	357					
18	18	68	68	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	358					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	359					
18	18	68	68	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	360					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	361					
18	18	68	68	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	362					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	363					
18	18	68	68	0.0	0	0	FiguredBass	4/4	9	1	0						3/4	6	5	
18	18	68	68	3.0	0	0	Chord	4/4	9	1	3/4		1/2	3/2	364					
18	18	71	71	0.0	3/4	3/4	FiguredBass	4/4	9	1	0						1/8	4		
18	18	71	71	0.5	3/4	3/4	Chord	4/4	9	1	1/8		1/8	1	365					
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	9	1	1/8		1/8	1	366					
18	18	68	68	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	367					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	368					
19	19	72	72	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	369					17
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	370					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	371					
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	372					18
19	19	73	73	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	373					
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	374					
19	19	72	72	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	375					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	376					
19	19	72	72	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	377					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	378					
19	19	72	72	1.5	0	0	Chord	4/4	5	1	3/8		1/4	3/2	379					19
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8		1/8	1	380					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	381					
19	19	72	72	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	382					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	383					
19	19	72	72	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	384					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	385					
19	19	72	72	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	386					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	387					
19	19	72	72	0.0	0	0	FiguredBass	4/4	9	1	0						3/8	6		
19	19	72	72	1.5	0	0	Chord	4/4	9	1	3/8		1/4	3/2	388					20
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	9	1	1/8		1/8	1	389					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	390					
19	19	72	72	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	391					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	392					
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	393					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	394					
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	395					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	396					
20	20	76	76	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	397					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	398					
20	20	76	76	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	399					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	400					
20	20	76	76	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	401					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	402					
20	20	76	76	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	403					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	404					
20	20	76	76	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	405					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	406					
20	20	76	76	4.0	0	0	Chord	4/4	6	1	1		1	1	407					
20	20	76	76	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6	4	
20	20	76	76	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	408					
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	5	#	
20	20	78	78	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	409					
20	20	76	76	4.0	0	0	Chord	4/4	10	1	1		1	1	410					
21	21	80	80	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	411					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	412					
21	21	80	80	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	413					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	414					
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	415					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	416					
21	21	80	80	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	417					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	418					
21	21	80	80	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	419					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	420					
21	21	80	80	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	421					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	422					
21	21	80	80	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	423					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	424					
21	21	80	80	2.0	0	0	Chord	4/4	5	4	1/2		1/2	1	425					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	5	4	1/2		1/2	1	426					
21	21	80	80	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	427					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	428					
21	21	80	80	2.0	0	0	Chord	4/4	6	2	1/2		1/2	1	429					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	6	2	1/2		1/2	1	430					
21	21	80	80	2.0	0	0	Chord	4/4	6	3	1/2		1/2	1	431					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	6	3	1/2		1/2	1	432					
21	21	80	80	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	7		
21	21	80	80	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	433					
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	6	5h	
21	21	82	82	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	434					
21	21	80	80	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	435					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	436					
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	437					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	438					
22	22	84	84	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	439					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	440					
22	22	84	84	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	441					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	442					
22	22	84	84	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	443					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	444					
22	22	84	84	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	445					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	446					
22	22	84	84	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	447					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	448					
22	22	84	84	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	449					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	450					
22	22	84	84	2.0	0	0	Chord	4/4	5	4	1/2		1/2	1	451					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	5	4	1/2		1/2	1	452					
22	22	84	84	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	453					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	454					
22	22	84	84	2.0	0	0	Chord	4/4	6	2	1/2		1/2	1	455					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	6	2	1/2		1/2	1	456					
22	22	84	84	2.0	0	0	Chord	4/4	6	3	1/2		1/2	1	457					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	6	3	1/2		1/2	1	458					
22	22	84	84	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6		
22	22	84	84	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	459					
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	6		
22	22	86	86	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	460					
22	22	84	84	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	461					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	462					
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	463					21
23	23	90	90	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	464	ornamentTremblement				21
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	465					
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	466					
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	467					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	468					
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	469					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	470	ornamentTremblement				
23	23	88	88	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	471					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	472					
23	23	88	88	2.0	0	0	Chord	4/4	4	2	1/2		1/2	1	473					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	4	2	1/2		1/2	1	474					
23	23	88	88	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	475					22
23	23	90	90	0.5	1/2	1/2	Chord	4/4	5	1	1/8		1/8	1	476					22
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8		1/8	1	477					
23	23	91	91	1.0	3/4	3/4	Chord	4/4	5	1	1/4		1/4	1	478					
23	23	88	88	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	479					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	480					
23	23	88	88	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	481					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	482					
23	23	88	88	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	483					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	484					
23	23	88	88	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6	4	
23	23	88	88	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	485					23
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/8	5	#	23
23	23	90	90	0.5	1/2	1/2	Chord	4/4	9	1	1/8		1/8	1	486	ornamentTremblement				23
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	9	1	1/8		1/8	1	487					
23	23	91	91	1.0	3/4	3/4	Chord	4/4	9	1	1/4		1/4	1	488					
23	23	88	88	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	489					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	490					
24	24	92	92	4.0	0	0	Chord	4/4	1	1	1		1	1	491					
24	24	92	92	4.0	0	0	Chord	4/4	2	1	1		1	1	492					
24	24	92	92	4.0	0	0	Chord	4/4	3	1	1		1	1	493					
24	24	92	92	4.0	0	0	Chord	4/4	4	1	1		1	1	494					
24	24	92	92	4.0	0	0	Chord	4/4	5	1	1		1	1	495					
24	24	92	92	4.0	0	0	Chord	4/4	5	2	1		1	1	496					
24	24	92	92	4.0	0	0	Chord	4/4	5	3	1		1	1	497					
24	24	92	92	4.0	0	0	Chord	4/4	6	1	1		1	1	498					
24	24	92	92	4.0	0	0	Chord	4/4	9	1	1		1	1	499					
24	24	92	92	4.0	0	0	Chord	4/4	10	1	1		1	1	500					
