mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
6	6	32	32	2.0	1/2	1/2	Chord	3/2	5	3	1/2	1/2	1	136						
6	6	34	34	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	137						
6	6	30	30	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	138						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	139						
6	6	34	34	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	140						
6	6	30	30	0.0	0	0	FiguredBass	3/2	7	1	0					1	5			
6	6	30	30	4.0	0	0	Chord	3/2	7	1	1	1	1	141						
6	6	34	34	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	5			
6	6	34	34	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	142						
6	6	30	30	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	143						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	144						
6	6	34	34	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	145						
7	7	36	36	4.0	0	0	Chord	3/2	1	1	1	1	1	146						
7	7	40	40	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	147	ornamentTremblement					
7	7	36	36	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	148						10
7	7	38	38	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	149						
7	7	40	40	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	150						
7	7	36	36	4.0	0	0	Chord	3/2	3	1	1	1	1	151						
7	7	40	40	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	152	ornamentTremblement					
7	7	36	36	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	153						11
7	7	38	38	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	154						
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	155						
7	7	36	36	2.0	0	0	Chord	3/2	4	2	1/2	1/2	1	156						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	4	2	1/2	1/2	1	157						
7	7	40	40	2.0	1	1	Chord	3/2	4	2	1/2	1/2	1	158						
7	7	36	36	4.0	0	0	Chord	3/2	5	1	1	1	1	159						
7	7	40	40	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	160						
7	7	36	36	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	161						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	162						
7	7	40	40	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	163						
7	7	36	36	4.0	0	0	Chord	3/2	5	3	1	1	1	164						
7	7	40	40	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	165						
7	7	36	36	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	166						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	167						
7	7	40	40	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	168						
7	7	36	36	0.0	0	0	FiguredBass	3/2	7	1	0					1	6	5		
7	7	36	36	4.0	0	0	Chord	3/2	7	1	1	1	1	169						
7	7	40	40	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	4			
7	7	40	40	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	170	ornamentTremblement					
7	7	42	42	0.0	3/2	3/2	FiguredBass	3/2	7	1	0					1/2	#			
7	7	36	36	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	171						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	172						
7	7	40	40	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	173						
8	8	42	42	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	174						
8	8	42	42	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	175						
8	8	42	42	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	176						
8	8	42	42	6.0	0	0	Chord	3/2	4	1	3/2	1	3/2	177						
8	8	42	42	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	178						
8	8	42	42	6.0	0	0	Chord	3/2	5	2	3/2	1	3/2	179						
8	8	42	42	6.0	0	0	Chord	3/2	5	3	3/2	1	3/2	180						
