mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	67	G4	4	207
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	205
11	11	42	42	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		2	74	D5	5	214
11	11	42	42	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		2	74	D5	5	221
12	12	44	44	4.0	0	0	4/4	4	1	1		1	1		0	48	C3	3	227
12	12	44	44	4.0	0	0	4/4	6	1	1		1	1		0	48	C3	3	231
12	12	44	44	4.0	0	0	4/4	10	1	1		1	1		0	48	C3	3	233
12	12	44	44	4.0	0	0	4/4	3	1	1		1	1		0	60	C4	4	226
12	12	44	44	4.0	0	0	4/4	5	2	1		1	1		0	60	C4	4	229
12	12	44	44	4.0	0	0	4/4	2	1	1		1	1		4	64	E4	4	225
12	12	44	44	4.0	0	0	4/4	5	3	1		1	1		1	67	G4	4	230
12	12	44	44	4.0	0	0	4/4	1	1	1		1	1		0	72	C5	5	224
12	12	44	44	4.0	0	0	4/4	5	1	1		1	1		0	72	C5	5	228
12	12	44	44	4.0	0	0	4/4	9	1	1		1	1		0	72	C5	5	232
13	13	48	48	2.0	0	0	4/4	4	1	1/2		1/2	1		2	50	D3	3	240
13	13	48	48	2.0	0	0	4/4	6	1	1/2		1/2	1		2	50	D3	3	248
13	13	48	48	2.0	0	0	4/4	10	1	1/2		1/2	1		2	50	D3	3	252
13	13	48	48	2.0	0	0	4/4	2	1	1/2		1/2	1		2	62	D4	4	236
13	13	48	48	2.0	0	0	4/4	5	2	1/2		1/2	1		2	62	D4	4	244
13	13	48	48	2.0	0	0	4/4	3	1	1/2		1/2	1		-1	65	F4	4	238
13	13	48	48	2.0	0	0	4/4	5	3	1/2		1/2	1		-1	65	F4	4	246
13	13	48	48	2.0	0	0	4/4	1	1	1/2		1/2	1		-2	70	Bb4	4	234
13	13	48	48	2.0	0	0	4/4	5	1	1/2		1/2	1		-2	70	Bb4	4	242
13	13	48	48	2.0	0	0	4/4	9	1	1/2		1/2	1		-2	70	Bb4	4	250
13	13	50	50	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		4	52	E3	3	241
13	13	50	50	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		4	52	E3	3	249
13	13	50	50	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		4	52	E3	3	253
13	13	50	50	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		0	60	C4	4	239
13	13	50	50	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		0	60	C4	4	245
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	67	G4	4	237
13	13	50	50	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		1	67	G4	4	247
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		-2	70	Bb4	4	235
13	13	50	50	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		-2	70	Bb4	4	243
13	13	50	50	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		-2	70	Bb4	4	251
14	14	52	52	2.0	0	0	4/4	4	1	1/2		1/2	1		-1	53	F3	3	261
14	14	52	52	2.0	0	0	4/4	6	1	1/2		1/2	1		-1	53	F3	3	270
14	14	52	52	2.0	0	0	4/4	10	1	1/2		1/2	1		-1	53	F3	3	274
14	14	52	52	2.0	0	0	4/4	3	1	1/2		1/2	1		0	60	C4	4	259
14	14	52	52	2.0	0	0	4/4	5	2	1/2		1/2	1		0	60	C4	4	265
14	14	52	52	2.0	0	0	4/4	2	1	1/2		1/2	1		-1	65	F4	4	256
14	14	52	52	2.0	0	0	4/4	5	3	1/2		1/2	1		-1	65	F4	4	267
14	14	52	52	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	254
14	14	52	52	2.0	0	0	4/4	5	1	1/2		1/2	1		3	69	A4	4	263
14	14	52	52	2.0	0	0	4/4	9	1	1/2		1/2	1		3	69	A4	4	272
14	14	54	54	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		-2	58	Bb3	3	262
14	14	54	54	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		-2	58	Bb3	3	271
14	14	54	54	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		-2	58	Bb3	3	275
14	14	54	54	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		0	60	C4	4	260
14	14	54	54	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		0	60	C4	4	266
14	14	54	54	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	64	E4	4	257
14	14	54	54	1.0	1/2	1/2	4/4	5	3	1/4		1/4	1		4	64	E4	4	268
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		1	67	G4	4	255
14	14	54	54	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		1	67	G4	4	264
14	14	54	54	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		1	67	G4	4	273
14	14	55	55	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1	1	1	67	G4	4	258
14	14	55	55	1.0	3/4	3/4	4/4	5	3	1/4		1/4	1	1	1	67	G4	4	269
15	15	56	56	2.0	0	0	4/4	4	1	1/2		1/2	1		3	57	A3	3	284
